X,Y,Z,pos
64,8,8,lateral L
67,8,-3,lateral L
66,4,-7,lateral L
68,7,-2,lateral L
64,1,0,lateral L
60,8,-19,lateral L
62,3,-4,lateral L
66,5,1,lateral L
66,9,4,lateral L
69,7,-6,lateral L
66,5,-3,lateral L
67,6,-2,lateral L
68,4,2,lateral L
70,0,3,lateral L
69,4,2,lateral L
70,8,-2,lateral L
63,9,0,lateral L
62,0,-5,lateral L
58,1,-16,lateral L
61,1,-20,lateral L
63,8,-7,lateral L
63,9,-20,lateral L
62,1,-15,lateral L
59,4,-8,lateral L
58,0,-12,lateral L
62,8,-18,lateral L
65,1,-15,lateral L
68,5,-16,lateral L
67,7,-12,lateral L
61,5,-16,lateral L
58,3,-27,lateral L
35,1,-18,lateral L
67,0,-15,lateral L
56,1,-15,lateral L
47,9,-36,lateral L
48,0,-30,lateral L
52,1,-33,lateral L
53,8,-30,lateral L
46,3,-31,lateral L
41,9,-29,lateral L
48,7,-33,lateral L
49,3,-32,lateral L
52,3,-36,lateral L
48,6,-33,lateral L
44,6,-32,lateral L
41,2,-39,lateral L
40,1,-35,lateral L
37,0,-40,lateral L
39,7,-34,lateral L
39,7,-37,lateral L
34,3,-32,lateral L
34,8,-36,lateral L
32,7,-40,lateral L
34,2,-38,lateral L
35,1,-52,lateral L
34,6,-49,lateral L
37,9,-44,lateral L
41,7,-41,lateral L
36,3,-32,lateral L
36,6,-27,lateral L
38,0,-41,lateral L
34,8,-46,lateral L
33,1,-46,lateral L
35,1,-57,lateral L
33,6,-43,lateral L
31,0,-43,lateral L
30,7,-60,lateral L
35,4,-53,lateral L
33,4,-55,lateral L
32,1,-41,lateral L
36,1,-50,lateral L
38,6,-57,lateral L
36,3,-37,lateral L
36,6,-47,lateral L
35,5,-37,lateral L
37,7,-44,lateral L
37,1,-43,lateral L
33,9,-42,lateral L
30,9,-42,lateral L
27,8,-46,lateral L
28,5,-59,lateral L
30,0,-55,lateral L
32,7,-47,lateral L
32,2,-53,lateral L
28,8,-43,lateral L
27,3,-44,lateral L
28,1,-43,lateral L
29,1,-51,lateral L
28,7,-42,lateral L
26,5,-46,lateral L
27,3,-55,lateral L
28,2,-44,lateral L
26,3,-47,lateral L
23,8,-34,lateral L
25,3,-47,lateral L
26,3,-42,lateral L
25,5,-50,lateral L
30,1,-57,lateral L
28,0,-38,lateral L
29,3,-38,lateral L
31,1,-45,lateral L
31,4,-45,lateral L
30,7,-32,lateral L
25,2,-33,lateral L
20,1,-41,lateral L
24,2,-47,lateral L
27,0,-59,lateral L
25,6,-64,lateral L
24,5,-51,lateral L
23,6,-49,lateral L
18,9,-53,lateral L
26,7,-61,lateral L
23,4,-61,lateral L
20,8,-61,lateral L
23,0,-70,lateral L
19,3,-51,lateral L
22,8,-58,lateral L
25,7,-59,lateral L
20,8,-54,lateral L
21,8,-59,lateral L
23,3,-54,lateral L
24,9,-63,lateral L
23,4,-57,lateral L
20,5,-51,lateral L
20,5,-45,lateral L
20,6,-51,lateral L
20,1,-41,lateral L
23,3,-55,lateral L
26,8,-55,lateral L
24,8,-61,lateral L
20,1,-54,lateral L
25,5,-56,lateral L
27,6,-57,lateral L
29,2,-58,lateral L
24,9,-50,lateral L
24,2,-53,lateral L
24,1,-45,lateral L
24,2,-45,lateral L
22,3,-48,lateral L
25,4,-52,lateral L
24,1,-49,lateral L
23,6,-40,lateral L
22,3,-51,lateral L
23,6,-54,lateral L
25,4,-54,lateral L
22,2,-59,lateral L
22,2,-56,lateral L
21,4,-44,lateral L
24,4,-48,lateral L
24,6,-51,lateral L
22,0,-55,lateral L
25,9,-53,lateral L
25,5,-60,lateral L
20,9,-54,lateral L
10,3,-51,lateral L
17,4,-58,lateral L
27,6,-53,lateral L
33,3,-42,lateral L
35,6,-46,lateral L
31,4,-57,lateral L
29,5,-58,lateral L
29,2,-59,lateral L
23,0,-58,lateral L
19,5,-46,lateral L
22,4,-53,lateral L
27,9,-37,lateral L
28,6,-49,lateral L
29,8,-48,lateral L
24,3,-53,lateral L
27,1,-46,lateral L
25,4,-47,lateral L
27,7,-51,lateral L
27,9,-48,lateral L
29,2,-48,lateral L
26,1,-42,lateral L
17,4,-50,lateral L
18,9,-54,lateral L
25,6,-45,lateral L
32,5,-53,lateral L
35,9,-53,lateral L
33,6,-63,lateral L
33,6,-66,lateral L
28,4,-47,lateral L
29,1,-51,lateral L
27,6,-54,lateral L
24,8,-44,lateral L
21,7,-61,lateral L
25,5,-58,lateral L
29,7,-55,lateral L
30,4,-56,lateral L
31,4,-57,lateral L
29,5,-52,lateral L
24,6,-56,lateral L
24,4,-48,lateral L
21,2,-61,lateral L
19,1,-50,lateral L
23,0,-53,lateral L
21,5,-54,lateral L
20,0,-59,lateral L
22,0,-58,lateral L
20,1,-64,lateral L
21,5,-60,lateral L
19,4,-49,lateral L
22,5,-63,lateral L
25,2,-63,lateral L
27,7,-59,lateral L
23,8,-66,lateral L
22,4,-59,lateral L
25,7,-54,lateral L
26,1,-56,lateral L
23,5,-59,lateral L
26,2,-57,lateral L
26,4,-53,lateral L
22,6,-59,lateral L
