X,Y,Z,pos
-236,57,10,lateral R
-237,62,2,lateral R
-230,55,6,lateral R
-227,57,-5,lateral R
-232,61,-4,lateral R
-236,60,7,lateral R
-232,60,11,lateral R
-235,63,-3,lateral R
-235,61,2,lateral R
-240,61,3,lateral R
-236,60,4,lateral R
-234,60,-2,lateral R
-236,67,0,lateral R
-231,63,8,lateral R
-228,59,2,lateral R
-233,59,-3,lateral R
-231,58,8,lateral R
-231,60,-2,lateral R
-236,60,2,lateral R
-233,60,-1,lateral R
-232,59,2,lateral R
-235,60,1,lateral R
-236,61,2,lateral R
-236,61,2,lateral R
-234,59,6,lateral R
-231,59,5,lateral R
-232,59,-2,lateral R
-239,60,6,lateral R
-229,60,14,lateral R
-233,63,2,lateral R
-235,60,5,lateral R
-239,64,1,lateral R
-237,62,11,lateral R
-233,63,3,lateral R
-231,61,15,lateral R
-231,62,4,lateral R
-234,63,5,lateral R
-237,63,6,lateral R
-233,59,12,lateral R
-227,60,12,lateral R
-231,63,6,lateral R
-231,63,-4,lateral R
-229,63,4,lateral R
-237,66,6,lateral R
-232,62,5,lateral R
-228,60,-2,lateral R
-229,60,2,lateral R
-228,59,2,lateral R
-228,60,3,lateral R
-233,62,2,lateral R
-239,63,8,lateral R
-236,62,5,lateral R
-228,64,0,lateral R
-235,64,5,lateral R
-232,61,11,lateral R
-229,60,-2,lateral R
-232,60,-6,lateral R
-230,60,3,lateral R
-236,62,5,lateral R
-232,62,7,lateral R
-227,62,0,lateral R
-232,63,2,lateral R
-234,61,0,lateral R
-231,62,-7,lateral R
-228,62,6,lateral R
-236,64,2,lateral R
-236,66,4,lateral R
-235,66,3,lateral R
-236,62,13,lateral R
-232,62,9,lateral R
-229,60,0,lateral R
-232,59,-2,lateral R
-229,63,-1,lateral R
-237,62,7,lateral R
-235,60,12,lateral R
-230,62,12,lateral R
-234,60,-2,lateral R
-231,62,4,lateral R
-234,62,2,lateral R
-238,64,3,lateral R
-234,61,12,lateral R
-235,62,-4,lateral R
-239,59,7,lateral R
-232,59,7,lateral R
-231,61,-4,lateral R
-233,64,3,lateral R
-232,62,6,lateral R
-229,63,-5,lateral R
-231,64,-6,lateral R
-232,61,1,lateral R
-231,62,6,lateral R
-233,63,-1,lateral R
-232,62,3,lateral R
-233,61,7,lateral R
-229,60,-4,lateral R
-233,62,-3,lateral R
-236,62,2,lateral R
-232,60,1,lateral R
-230,60,5,lateral R
-239,62,11,lateral R
-235,60,18,lateral R
-233,61,0,lateral R
-234,59,-3,lateral R
-238,61,8,lateral R
-236,60,9,lateral R
-231,61,-2,lateral R
-232,63,-11,lateral R
-233,61,1,lateral R
-238,61,17,lateral R
-234,63,13,lateral R
-229,57,0,lateral R
-230,62,-14,lateral R
-233,58,6,lateral R
-233,57,5,lateral R
-232,61,7,lateral R
-230,59,9,lateral R
-231,60,2,lateral R
-233,61,-2,lateral R
-238,59,7,lateral R
-231,63,1,lateral R
-233,61,12,lateral R
-226,61,-5,lateral R
-231,62,0,lateral R
-229,62,2,lateral R
-237,62,-1,lateral R
-233,61,2,lateral R
-227,59,5,lateral R
-230,61,2,lateral R
-232,63,3,lateral R
-241,62,8,lateral R
-239,65,4,lateral R
-238,60,13,lateral R
-228,57,-2,lateral R
-229,58,8,lateral R
-226,60,-2,lateral R
-238,58,4,lateral R
-237,60,8,lateral R
-240,59,6,lateral R
-234,58,2,lateral R
-234,56,2,lateral R
-232,56,2,lateral R
-234,56,7,lateral R
-233,57,10,lateral R
-233,57,0,lateral R
-236,59,10,lateral R
-236,62,6,lateral R
-239,59,9,lateral R
-233,57,11,lateral R
-227,57,8,lateral R
-230,59,-3,lateral R
-233,59,9,lateral R
-231,56,13,lateral R
-233,59,8,lateral R
-235,58,23,lateral R
-235,59,19,lateral R
-233,58,16,lateral R
-230,63,7,lateral R
-230,63,2,lateral R
-233,59,18,lateral R
-236,61,20,lateral R
-235,59,3,lateral R
-231,59,-5,lateral R
-235,60,11,lateral R
-237,62,20,lateral R
-235,62,7,lateral R
-236,60,15,lateral R
-231,61,9,lateral R
-234,57,21,lateral R
-230,56,11,lateral R
-233,56,14,lateral R
-233,56,17,lateral R
-226,59,9,lateral R
-224,57,9,lateral R
-231,61,7,lateral R
-232,61,4,lateral R
-237,61,15,lateral R
-235,59,19,lateral R
-233,57,4,lateral R
-233,60,8,lateral R
-231,62,11,lateral R
-234,62,10,lateral R
-231,64,12,lateral R
-234,60,11,lateral R
-233,55,18,lateral R
-240,60,15,lateral R
-233,55,17,lateral R
-235,58,9,lateral R
-232,59,-2,lateral R
-237,61,6,lateral R
-235,58,15,lateral R
-235,62,9,lateral R
-235,62,10,lateral R
-230,61,12,lateral R
-234,59,15,lateral R
-230,62,2,lateral R
-233,62,4,lateral R
-231,66,4,lateral R
-235,63,15,lateral R
-229,59,5,lateral R
-231,63,5,lateral R
-233,61,10,lateral R
-232,58,13,lateral R
-232,58,4,lateral R
-231,60,4,lateral R
-230,58,8,lateral R
-238,61,15,lateral R
-229,60,7,lateral R
-239,59,20,lateral R
-233,61,11,lateral R
-239,64,10,lateral R
-234,59,12,lateral R
-242,61,13,lateral R
-231,60,4,lateral R
-225,63,1,lateral R
-235,65,4,lateral R
-232,63,6,lateral R
-234,61,5,lateral R
-233,62,7,lateral R
-230,60,15,lateral R
-235,59,9,lateral R
-236,59,12,lateral R
-228,62,9,lateral R
-229,60,5,lateral R
-233,59,-6,lateral R
-230,62,1,lateral R
-235,62,-2,lateral R
-231,61,1,lateral R
-235,60,11,lateral R
-238,62,12,lateral R
-230,55,10,lateral R
-231,58,5,lateral R
-234,62,3,lateral R
-229,62,-5,lateral R
-231,61,15,lateral R
-236,61,5,lateral R
-237,60,8,lateral R
-234,59,10,lateral R
-230,58,17,lateral R
-226,59,6,lateral R
-230,62,10,lateral R
-234,61,12,lateral R
-237,64,6,lateral R
-235,61,9,lateral R
-237,62,11,lateral R
-231,58,14,lateral R
-228,58,5,lateral R
-232,57,2,lateral R
-230,59,-1,lateral R
-228,63,-1,lateral R
-229,60,-2,lateral R
-236,59,10,lateral R
-231,58,11,lateral R
-232,62,6,lateral R
-232,60,13,lateral R
-231,61,6,lateral R
-233,57,6,lateral R
-236,62,11,lateral R
-234,58,10,lateral R
-237,62,11,lateral R
-239,61,10,lateral R
-238,61,8,lateral R
-236,59,16,lateral R
-237,60,14,lateral R
-231,59,16,lateral R
-239,59,8,lateral R
-232,58,7,lateral R
-232,60,9,lateral R
-237,59,13,lateral R
-235,57,5,lateral R
-236,62,7,lateral R
-234,59,0,lateral R
-234,61,8,lateral R
-233,59,1,lateral R
-237,61,5,lateral R
-235,60,4,lateral R
-234,60,10,lateral R
-234,62,6,lateral R
-237,62,12,lateral R
-236,63,-1,lateral R
-237,61,1,lateral R
-230,61,10,lateral R
-235,59,9,lateral R
-235,58,4,lateral R
-240,61,11,lateral R
-235,61,16,lateral R
-230,60,6,lateral R
-236,59,10,lateral R
-227,59,-10,lateral R
-237,58,11,lateral R
-238,63,14,lateral R
-234,65,-1,lateral R
-238,61,13,lateral R
-233,61,7,lateral R
-236,62,3,lateral R
-238,59,13,lateral R
-232,58,4,lateral R
-228,57,1,lateral R
-230,63,-6,lateral R
-227,62,-8,lateral R
-233,61,2,lateral R
-236,60,4,lateral R
-235,60,13,lateral R
-232,61,7,lateral R
-234,60,6,lateral R
-235,59,-2,lateral R
-239,62,6,lateral R
-231,60,8,lateral R
-233,61,7,lateral R
-232,62,4,lateral R
-235,62,6,lateral R
-236,62,1,lateral R
-233,60,4,lateral R
-228,59,-1,lateral R
-235,57,2,lateral R
-235,61,6,lateral R
-234,61,11,lateral R
-229,59,-1,lateral R
-231,61,3,lateral R
-231,62,7,lateral R
-231,63,8,lateral R
-227,64,3,lateral R
-239,62,5,lateral R
-233,61,9,lateral R
-229,61,0,lateral R
-234,60,-5,lateral R
-231,60,8,lateral R
-229,63,2,lateral R
-235,64,3,lateral R
-231,64,-2,lateral R
-235,62,4,lateral R
-230,62,-5,lateral R
-234,60,11,lateral R
-236,61,10,lateral R
-235,61,2,lateral R
-232,62,0,lateral R
-231,63,5,lateral R
-234,62,13,lateral R
-229,63,1,lateral R
-231,63,-3,lateral R
-230,63,-1,lateral R
-232,63,1,lateral R
-230,60,6,lateral R
-236,63,11,lateral R
-235,62,9,lateral R
-235,63,4,lateral R
-238,64,5,lateral R
-234,65,1,lateral R
-228,63,-1,lateral R
-233,63,2,lateral R
-234,61,6,lateral R
-225,59,0,lateral R
-227,61,18,lateral R
-227,62,6,lateral R
-229,59,9,lateral R
-236,59,10,lateral R
-232,58,10,lateral R
-235,57,10,lateral R
-233,62,8,lateral R
-230,61,1,lateral R
-236,64,2,lateral R
-237,63,9,lateral R
-235,63,14,lateral R
-237,65,6,lateral R
-237,63,17,lateral R
-235,62,10,lateral R
-237,63,7,lateral R
-233,61,12,lateral R
-234,62,13,lateral R
-232,61,6,lateral R
-229,59,12,lateral R
-231,63,-1,lateral R
-232,61,21,lateral R
-228,61,9,lateral R
-231,60,6,lateral R
-235,62,3,lateral R
-233,63,-3,lateral R
-229,61,6,lateral R
-233,61,10,lateral R
-230,60,13,lateral R
-235,62,18,lateral R
-237,58,17,lateral R
-228,60,9,lateral R
-229,60,13,lateral R
-233,61,21,lateral R
-232,59,24,lateral R
-231,58,17,lateral R
-232,61,12,lateral R
-231,60,6,lateral R
-231,58,19,lateral R
-229,60,7,lateral R
-232,64,5,lateral R
-233,63,7,lateral R
-236,63,17,lateral R
-235,64,6,lateral R
-230,59,8,lateral R
-230,65,9,lateral R
-231,60,21,lateral R
-231,63,10,lateral R
-229,64,9,lateral R
-232,63,2,lateral R
-232,60,18,lateral R
-231,59,19,lateral R
-232,61,6,lateral R
-235,60,9,lateral R
-234,61,22,lateral R
-233,61,19,lateral R
-237,60,20,lateral R
-234,59,15,lateral R
-234,61,16,lateral R
-226,57,16,lateral R
-231,63,0,lateral R
-235,60,13,lateral R
-229,61,-3,lateral R
-230,61,10,lateral R
-238,61,22,lateral R
-231,61,17,lateral R
-236,62,22,lateral R
-234,60,13,lateral R
-232,64,8,lateral R
-234,64,16,lateral R
-232,61,1,lateral R
-233,65,17,lateral R
-240,62,26,lateral R
-242,61,13,lateral R
-231,57,13,lateral R
-234,60,16,lateral R
-234,60,18,lateral R
-227,58,11,lateral R
-231,60,12,lateral R
-232,61,8,lateral R
-233,61,13,lateral R
-232,62,4,lateral R
-232,61,9,lateral R
-236,62,9,lateral R
-231,59,16,lateral R
-231,58,14,lateral R
-232,64,11,lateral R
-234,63,8,lateral R
-235,61,15,lateral R
-232,62,12,lateral R
-231,57,22,lateral R
-229,62,5,lateral R
-234,61,10,lateral R
-233,60,20,lateral R
-233,61,17,lateral R
-228,61,15,lateral R
-236,62,15,lateral R
-234,60,12,lateral R
-228,60,11,lateral R
-229,61,9,lateral R
-229,59,12,lateral R
-235,63,13,lateral R
-237,62,24,lateral R
-237,64,15,lateral R
-235,62,14,lateral R
-235,60,18,lateral R
-237,61,18,lateral R
-232,60,18,lateral R
-229,58,13,lateral R
-233,62,-2,lateral R
-233,62,2,lateral R
-235,64,10,lateral R
-236,63,17,lateral R
-235,59,18,lateral R
-232,60,13,lateral R
-235,60,11,lateral R
-226,58,12,lateral R
-228,58,11,lateral R
-234,61,21,lateral R
-230,61,16,lateral R
-234,62,13,lateral R
-229,64,15,lateral R
-228,61,8,lateral R
-237,62,11,lateral R
-235,63,14,lateral R
-229,60,7,lateral R
-232,60,17,lateral R
-229,62,1,lateral R
-236,60,13,lateral R
-229,62,19,lateral R
-231,62,18,lateral R
-230,62,8,lateral R
-231,63,3,lateral R
-233,62,11,lateral R
