X,Y,Z,pos
93,21,15,lateral L
96,24,13,lateral L
98,26,0,lateral L
98,26,15,lateral L
95,18,17,lateral L
95,21,14,lateral L
97,21,17,lateral L
95,21,5,lateral L
98,17,7,lateral L
100,22,2,lateral L
102,13,5,lateral L
99,20,-4,lateral L
100,22,6,lateral L
96,24,4,lateral L
95,18,5,lateral L
91,20,4,lateral L
94,24,10,lateral L
88,23,13,lateral L
94,19,11,lateral L
98,24,11,lateral L
99,17,11,lateral L
96,22,10,lateral L
97,23,8,lateral L
98,24,4,lateral L
97,18,12,lateral L
93,22,7,lateral L
97,20,-2,lateral L
94,16,7,lateral L
91,24,16,lateral L
93,28,20,lateral L
91,14,9,lateral L
94,24,14,lateral L
97,25,5,lateral L
95,26,6,lateral L
90,20,3,lateral L
86,24,5,lateral L
88,21,9,lateral L
86,27,18,lateral L
88,22,6,lateral L
87,17,15,lateral L
88,17,5,lateral L
94,21,7,lateral L
93,19,10,lateral L
92,24,8,lateral L
89,22,17,lateral L
87,22,15,lateral L
92,22,19,lateral L
90,30,18,lateral L
91,24,18,lateral L
89,22,22,lateral L
89,20,11,lateral L
92,25,12,lateral L
85,23,13,lateral L
87,19,16,lateral L
88,18,11,lateral L
91,22,12,lateral L
88,29,22,lateral L
85,27,7,lateral L
87,25,24,lateral L
85,26,17,lateral L
82,23,15,lateral L
77,23,10,lateral L
75,29,12,lateral L
82,29,13,lateral L
87,20,20,lateral L
88,23,22,lateral L
87,18,18,lateral L
88,22,15,lateral L
87,24,9,lateral L
84,31,16,lateral L
81,24,1,lateral L
80,29,16,lateral L
80,25,14,lateral L
77,26,9,lateral L
78,26,13,lateral L
78,24,12,lateral L
76,29,18,lateral L
75,25,17,lateral L
76,26,11,lateral L
79,28,12,lateral L
78,26,12,lateral L
77,20,14,lateral L
78,26,10,lateral L
80,23,12,lateral L
80,27,16,lateral L
82,29,11,lateral L
82,26,16,lateral L
78,27,19,lateral L
77,28,19,lateral L
80,28,28,lateral L
81,27,19,lateral L
80,25,21,lateral L
77,28,17,lateral L
78,31,24,lateral L
80,30,18,lateral L
79,28,22,lateral L
77,28,28,lateral L
75,30,22,lateral L
75,29,24,lateral L
72,22,12,lateral L
76,30,18,lateral L
75,25,23,lateral L
74,30,22,lateral L
81,26,13,lateral L
78,32,34,lateral L
75,27,23,lateral L
78,30,18,lateral L
78,29,9,lateral L
74,33,19,lateral L
75,25,25,lateral L
78,27,19,lateral L
76,26,16,lateral L
76,32,19,lateral L
78,31,14,lateral L
78,25,21,lateral L
78,24,23,lateral L
81,28,21,lateral L
80,30,24,lateral L
78,30,16,lateral L
78,32,23,lateral L
77,29,24,lateral L
75,26,17,lateral L
77,27,11,lateral L
72,25,9,lateral L
77,28,6,lateral L
79,25,3,lateral L
75,27,4,lateral L
82,25,13,lateral L
78,30,11,lateral L
79,31,18,lateral L
77,34,18,lateral L
80,29,24,lateral L
75,30,19,lateral L
79,26,22,lateral L
82,27,15,lateral L
80,26,22,lateral L
80,30,12,lateral L
77,32,11,lateral L
76,26,17,lateral L
75,29,15,lateral L
78,25,13,lateral L
79,24,4,lateral L
79,31,14,lateral L
79,27,23,lateral L
78,26,26,lateral L
78,25,13,lateral L
79,27,9,lateral L
80,27,20,lateral L
80,27,18,lateral L
77,29,22,lateral L
81,25,14,lateral L
79,31,20,lateral L
80,28,22,lateral L
78,27,13,lateral L
79,27,12,lateral L
79,26,9,lateral L
82,29,18,lateral L
79,28,11,lateral L
82,22,10,lateral L
84,24,8,lateral L
80,27,21,lateral L
78,22,15,lateral L
78,22,16,lateral L
84,26,9,lateral L
85,25,10,lateral L
84,29,15,lateral L
81,30,20,lateral L
83,26,20,lateral L
84,23,17,lateral L
84,23,15,lateral L
80,28,8,lateral L
83,28,13,lateral L
83,28,20,lateral L
82,28,7,lateral L
81,26,17,lateral L
79,27,14,lateral L
81,28,17,lateral L
83,28,17,lateral L
83,29,18,lateral L
89,27,11,lateral L
84,26,9,lateral L
83,24,9,lateral L
83,28,14,lateral L
84,27,20,lateral L
84,22,15,lateral L
85,25,11,lateral L
83,30,-1,lateral L
84,29,13,lateral L
84,27,14,lateral L
83,31,5,lateral L
84,26,14,lateral L
85,27,2,lateral L
86,24,6,lateral L
84,27,25,lateral L
82,22,11,lateral L
84,22,10,lateral L
85,24,1,lateral L
86,28,7,lateral L
87,28,18,lateral L
85,28,10,lateral L
85,25,19,lateral L
84,23,18,lateral L
86,22,16,lateral L
89,21,9,lateral L
89,27,11,lateral L
87,28,24,lateral L
86,29,14,lateral L
87,24,17,lateral L
85,21,12,lateral L
86,23,9,lateral L
83,23,6,lateral L
81,22,8,lateral L
81,21,7,lateral L
85,24,0,lateral L
83,29,14,lateral L
85,25,15,lateral L
86,19,3,lateral L
83,22,11,lateral L
86,24,8,lateral L
90,25,4,lateral L
86,29,13,lateral L
87,24,17,lateral L
89,25,12,lateral L
87,28,4,lateral L
86,17,9,lateral L
85,18,6,lateral L
86,21,14,lateral L
88,21,4,lateral L
90,28,10,lateral L
91,30,8,lateral L
87,25,15,lateral L
88,25,14,lateral L
84,24,18,lateral L
89,23,12,lateral L
88,23,4,lateral L
91,24,4,lateral L
89,20,-8,lateral L
91,25,9,lateral L
89,24,7,lateral L
89,25,9,lateral L
88,24,15,lateral L
86,24,14,lateral L
85,21,11,lateral L
89,20,17,lateral L
88,22,8,lateral L
90,22,5,lateral L
89,20,13,lateral L
89,27,23,lateral L
90,23,19,lateral L
89,17,15,lateral L
91,26,17,lateral L
90,23,9,lateral L
88,20,8,lateral L
88,19,18,lateral L
89,29,20,lateral L
89,23,16,lateral L
87,26,7,lateral L
94,18,13,lateral L
95,19,9,lateral L
92,31,12,lateral L
93,27,8,lateral L
93,27,14,lateral L
91,24,15,lateral L
91,22,11,lateral L
88,22,14,lateral L
90,20,13,lateral L
90,18,8,lateral L
92,21,2,lateral L
92,23,2,lateral L
94,25,5,lateral L
90,22,13,lateral L
93,27,14,lateral L
92,28,11,lateral L
93,28,15,lateral L
92,26,11,lateral L
87,26,12,lateral L
84,20,5,lateral L
85,24,8,lateral L
93,28,8,lateral L
95,26,14,lateral L
92,21,7,lateral L
93,23,6,lateral L
98,24,11,lateral L
93,21,16,lateral L
95,22,4,lateral L
94,21,6,lateral L
92,17,9,lateral L
88,24,15,lateral L
92,26,0,lateral L
96,25,3,lateral L
98,22,9,lateral L
96,24,4,lateral L
95,27,11,lateral L
93,24,22,lateral L
96,24,14,lateral L
94,28,5,lateral L
95,23,18,lateral L
93,23,14,lateral L
97,24,12,lateral L
94,27,14,lateral L
94,17,9,lateral L
94,22,11,lateral L
96,24,-2,lateral L
93,23,4,lateral L
91,24,8,lateral L
89,22,10,lateral L
91,25,17,lateral L
91,24,9,lateral L
92,24,6,lateral L
90,24,12,lateral L
92,23,13,lateral L
91,19,3,lateral L
90,20,13,lateral L
