X,Y,Z,pos
-16,22,-212,supine
-13,22,-210,supine
-4,19,-213,supine
3,16,-203,supine
2,14,-213,supine
-6,12,-211,supine
-4,11,-220,supine
-11,16,-211,supine
-17,7,-217,supine
-12,8,-209,supine
-21,1,-210,supine
-14,6,-219,supine
-16,6,-209,supine
-7,9,-220,supine
-8,1,-218,supine
-9,8,-217,supine
-7,3,-216,supine
-7,5,-219,supine
-3,1,-231,supine
-7,1,-211,supine
-17,8,-234,supine
-16,2,-225,supine
-15,9,-232,supine
-21,5,-233,supine
-15,9,-218,supine
-5,4,-209,supine
0,7,-215,supine
-9,6,-222,supine
-17,7,-228,supine
-13,6,-234,supine
-8,3,-214,supine
-13,2,-220,supine
-23,2,-229,supine
-21,5,-241,supine
-18,8,-231,supine
-15,3,-231,supine
-14,6,-235,supine
-18,2,-225,supine
-23,7,-221,supine
-23,3,-218,supine
-21,2,-230,supine
-15,2,-237,supine
-21,6,-223,supine
-16,3,-214,supine
-12,9,-216,supine
-17,5,-218,supine
-25,6,-218,supine
-28,3,-209,supine
-14,9,-231,supine
-14,5,-224,supine
-15,5,-234,supine
-18,4,-223,supine
-28,6,-223,supine
-24,9,-233,supine
-22,3,-229,supine
-23,4,-220,supine
-26,2,-220,supine
-20,0,-221,supine
-30,2,-220,supine
-27,0,-230,supine
-25,6,-230,supine
-23,2,-230,supine
-22,8,-233,supine
-26,9,-221,supine
-27,5,-226,supine
-26,4,-236,supine
-26,5,-226,supine
-31,7,-224,supine
-29,9,-218,supine
-29,7,-225,supine
-26,9,-225,supine
-28,0,-230,supine
-29,3,-233,supine
-28,2,-235,supine
-32,7,-225,supine
-35,2,-224,supine
-32,9,-228,supine
-30,1,-228,supine
-30,0,-239,supine
-28,7,-237,supine
-28,8,-234,supine
-25,5,-232,supine
-33,8,-222,supine
-32,0,-228,supine
-32,1,-227,supine
-40,1,-230,supine
-39,0,-235,supine
-38,6,-225,supine
-39,8,-232,supine
-34,6,-234,supine
-32,5,-230,supine
-32,2,-226,supine
-31,7,-223,supine
-35,5,-228,supine
-37,5,-231,supine
-38,1,-225,supine
-37,2,-216,supine
-36,6,-227,supine
-40,5,-228,supine
-39,8,-232,supine
-38,6,-227,supine
-40,0,-232,supine
-35,6,-233,supine
-37,3,-233,supine
-41,9,-221,supine
-36,1,-226,supine
-41,1,-227,supine
-36,7,-229,supine
-37,4,-228,supine
-37,6,-224,supine
-36,5,-232,supine
-40,4,-216,supine
-39,0,-230,supine
-40,6,-232,supine
-34,2,-231,supine
-37,7,-231,supine
-35,0,-234,supine
-40,8,-223,supine
-38,7,-221,supine
-38,4,-217,supine
-34,0,-226,supine
-38,6,-226,supine
-42,0,-228,supine
-39,2,-226,supine
-42,5,-226,supine
-42,5,-228,supine
-37,1,-233,supine
-38,3,-217,supine
-40,7,-225,supine
-40,5,-217,supine
-44,0,-222,supine
-43,1,-229,supine
-43,4,-224,supine
-42,6,-231,supine
-40,0,-223,supine
-41,7,-213,supine
-41,2,-205,supine
-41,6,-231,supine
-39,6,-233,supine
-39,3,-223,supine
-38,7,-219,supine
-37,5,-231,supine
-36,4,-226,supine
-38,5,-226,supine
-41,3,-217,supine
-41,6,-221,supine
-43,8,-224,supine
-39,1,-240,supine
-39,7,-224,supine
-42,4,-218,supine
-41,0,-219,supine
-40,9,-221,supine
-38,7,-217,supine
-41,5,-222,supine
-39,0,-226,supine
-38,6,-223,supine
-41,1,-232,supine
-42,0,-224,supine
-41,5,-234,supine
-38,4,-222,supine
-43,6,-220,supine
-43,2,-218,supine
-42,9,-220,supine
-40,3,-229,supine
-40,0,-235,supine
-42,5,-231,supine
-44,6,-216,supine
-41,6,-221,supine
-41,8,-229,supine
-36,4,-235,supine
-39,3,-226,supine
-38,7,-215,supine
-41,7,-212,supine
-45,8,-218,supine
-44,3,-234,supine
-44,5,-229,supine
-41,6,-213,supine
-41,9,-219,supine
-41,6,-230,supine
-41,9,-226,supine
-38,0,-221,supine
-39,6,-219,supine
-42,4,-211,supine
-42,6,-224,supine
-42,4,-225,supine
-38,8,-230,supine
-36,8,-229,supine
-42,3,-222,supine
-42,2,-219,supine
-40,9,-236,supine
-40,2,-223,supine
-41,6,-216,supine
-40,2,-231,supine
-39,6,-220,supine
-40,3,-221,supine
-38,9,-225,supine
-42,2,-215,supine
-39,6,-219,supine
-39,7,-231,supine
-38,9,-220,supine
-42,5,-219,supine
-44,3,-224,supine
-36,3,-244,supine
-38,3,-225,supine
-39,7,-218,supine
-40,6,-224,supine
-39,3,-232,supine
-36,7,-227,supine
-39,0,-226,supine
-42,9,-222,supine
-43,2,-234,supine
-41,7,-230,supine
-38,7,-230,supine
-37,7,-225,supine
-39,5,-214,supine
-40,4,-216,supine
-38,1,-226,supine
-36,9,-234,supine
-40,9,-220,supine
-37,9,-221,supine
-38,5,-223,supine
-38,5,-225,supine
-40,5,-233,supine
-38,4,-222,supine
-39,0,-235,supine
-35,9,-232,supine
-37,1,-226,supine
-39,6,-221,supine
-41,1,-220,supine
-35,9,-226,supine
-38,0,-221,supine
-42,7,-221,supine
-40,9,-225,supine
-37,5,-230,supine
-36,1,-224,supine
-35,9,-229,supine
-39,1,-224,supine
-41,9,-233,supine
-36,4,-230,supine
-36,5,-236,supine
-39,4,-221,supine
-42,8,-226,supine
-37,1,-227,supine
-37,6,-230,supine
-37,1,-229,supine
-33,3,-227,supine
-38,4,-225,supine
-35,4,-225,supine
-37,2,-225,supine
-38,6,-236,supine
-38,9,-225,supine
-35,3,-218,supine
-38,0,-221,supine
-42,5,-228,supine
-43,1,-225,supine
-39,3,-222,supine
-36,0,-225,supine
-41,0,-224,supine
-38,9,-220,supine
-38,0,-225,supine
-41,7,-225,supine
-39,1,-225,supine
-41,0,-226,supine
-41,4,-228,supine
-39,1,-230,supine
-39,2,-226,supine
-40,4,-239,supine
-36,9,-224,supine
-38,0,-225,supine
-39,3,-225,supine
-40,3,-232,supine
-41,3,-224,supine
-43,2,-237,supine
-42,7,-233,supine
-47,6,-226,supine
-36,2,-233,supine
-33,5,-247,supine
-36,9,-214,supine
-35,2,-235,supine
-34,1,-225,supine
-38,0,-237,supine
-35,9,-229,supine
-36,2,-227,supine
-39,3,-229,supine
-39,0,-238,supine
-41,4,-236,supine
-42,9,-226,supine
-40,2,-235,supine
-44,6,-234,supine
-41,6,-237,supine
-34,3,-231,supine
-40,3,-239,supine
-41,3,-227,supine
-43,5,-225,supine
-36,9,-227,supine
-40,9,-227,supine
-40,6,-228,supine
-42,8,-230,supine
-41,9,-222,supine
-41,4,-230,supine
-43,2,-223,supine
-44,8,-229,supine
-44,1,-234,supine
-40,2,-233,supine
-43,2,-221,supine
-40,3,-216,supine
-40,5,-236,supine
-41,8,-233,supine
-36,1,-246,supine
-39,1,-224,supine
-40,5,-225,supine
-41,0,-233,supine
-40,9,-238,supine
-37,7,-242,supine
-41,1,-233,supine
-44,8,-224,supine
-45,6,-229,supine
-48,6,-233,supine
-42,3,-232,supine
-45,2,-226,supine
-39,9,-226,supine
-41,4,-231,supine
-41,2,-234,supine
-42,9,-232,supine
-45,8,-223,supine
-42,7,-234,supine
-45,8,-225,supine
-46,7,-234,supine
-42,1,-235,supine
-44,3,-235,supine
-47,2,-220,supine
-45,8,-228,supine
-43,5,-225,supine
-43,0,-234,supine
-43,0,-232,supine
-48,9,-223,supine
-43,8,-235,supine
-43,3,-225,supine
-43,2,-220,supine
-47,9,-231,supine
-41,5,-241,supine
-45,4,-229,supine
-44,4,-226,supine
-46,4,-233,supine
-44,9,-228,supine
-44,7,-231,supine
-41,4,-229,supine
-41,8,-230,supine
-39,1,-234,supine
-37,0,-232,supine
-41,0,-225,supine
-44,6,-228,supine
-41,5,-235,supine
-41,1,-230,supine
-42,3,-229,supine
-44,7,-225,supine
-47,0,-221,supine
-45,9,-219,supine
-43,6,-239,supine
-42,4,-228,supine
-44,2,-222,supine
-46,0,-228,supine
-44,6,-234,supine
-46,9,-235,supine
-48,8,-223,supine
-48,0,-214,supine
-44,0,-237,supine
-44,6,-227,supine
-43,2,-222,supine
-45,7,-218,supine
-45,5,-234,supine
-43,3,-229,supine
-46,3,-236,supine
-46,2,-226,supine
-43,3,-228,supine
-46,7,-235,supine
-47,9,-237,supine
-43,9,-225,supine
-43,1,-218,supine
-46,1,-222,supine
-45,7,-231,supine
-45,3,-232,supine
-44,8,-230,supine
-40,2,-230,supine
-45,6,-229,supine
-40,0,-235,supine
-38,6,-223,supine
-43,2,-227,supine
-45,8,-232,supine
-45,4,-236,supine
-44,5,-231,supine
-50,0,-219,supine
-44,0,-223,supine
-44,3,-225,supine
-43,2,-231,supine
-44,9,-224,supine
-43,0,-245,supine
-45,1,-233,supine
-43,6,-228,supine
-46,0,-234,supine
-45,6,-221,supine
-43,5,-231,supine
-45,5,-226,supine
-44,5,-238,supine
-42,8,-238,supine
-41,0,-239,supine
-41,1,-230,supine
-42,2,-224,supine
-44,7,-236,supine
-43,5,-231,supine
-42,1,-229,supine
-44,6,-233,supine
-46,6,-234,supine
-44,9,-239,supine
-43,8,-227,supine
-43,0,-222,supine
-42,1,-221,supine
-42,1,-225,supine
-46,0,-226,supine
-44,7,-225,supine
-48,3,-229,supine
-47,5,-234,supine
-40,5,-241,supine
-43,2,-230,supine
-41,6,-229,supine
-44,1,-222,supine
-47,0,-228,supine
-43,7,-227,supine
-42,3,-236,supine
-42,0,-232,supine
-44,5,-224,supine
-45,9,-232,supine
-45,3,-231,supine
-44,3,-231,supine
-43,1,-240,supine
-46,9,-239,supine
-40,5,-240,supine
-43,5,-224,supine
-37,8,-233,supine
-38,6,-231,supine
-45,9,-217,supine
-45,5,-228,supine
-42,6,-227,supine
-45,3,-229,supine
-39,5,-238,supine
-39,3,-239,supine
-38,8,-233,supine
-40,8,-225,supine
-43,8,-222,supine
-47,5,-228,supine
-45,0,-220,supine
-42,6,-224,supine
-43,8,-216,supine
-44,7,-218,supine
-40,9,-218,supine
-40,8,-230,supine
-38,7,-233,supine
-42,4,-224,supine
-40,1,-235,supine
-44,3,-233,supine
-43,5,-229,supine
-45,8,-228,supine
-41,2,-227,supine
-42,8,-239,supine
-42,6,-219,supine
-38,4,-236,supine
-41,4,-227,supine
-41,4,-225,supine
-40,6,-232,supine
-40,9,-234,supine
-41,1,-231,supine
-40,9,-239,supine
-37,5,-235,supine
-38,5,-235,supine
-38,3,-233,supine
-40,4,-229,supine
-39,1,-229,supine
-41,7,-232,supine
-40,2,-232,supine
-39,5,-226,supine
-39,8,-227,supine
-38,8,-235,supine
-41,2,-226,supine
-37,8,-226,supine
-41,7,-232,supine
-38,5,-238,supine
-38,9,-224,supine
-38,6,-223,supine
-42,6,-226,supine
-41,6,-239,supine
-41,5,-238,supine
-40,0,-235,supine
-41,5,-230,supine
-40,3,-232,supine
-40,8,-234,supine
-41,8,-238,supine
-36,5,-227,supine
-37,1,-240,supine
-35,9,-235,supine
-38,5,-242,supine
-37,2,-225,supine
-42,5,-238,supine
-40,4,-233,supine
-40,8,-228,supine
-39,7,-236,supine
-36,7,-232,supine
-37,0,-220,supine
-38,9,-232,supine
-36,1,-239,supine
-38,2,-238,supine
-38,3,-231,supine
-39,0,-234,supine
-39,7,-236,supine
-35,1,-229,supine
-41,8,-218,supine
-41,7,-233,supine
-41,2,-233,supine
-38,7,-234,supine
-36,6,-229,supine
-37,4,-235,supine
-41,2,-224,supine
-42,4,-227,supine
-39,5,-241,supine
-38,8,-231,supine
-38,8,-232,supine
-39,9,-242,supine
-38,6,-236,supine
-41,2,-232,supine
-39,4,-238,supine
-39,6,-239,supine
-41,7,-220,supine
-43,8,-235,supine
-37,4,-242,supine
-37,0,-233,supine
-39,5,-247,supine
-40,1,-236,supine
-39,0,-231,supine
-39,9,-232,supine
-42,9,-237,supine
-42,1,-225,supine
-43,5,-233,supine
-40,8,-228,supine
-44,4,-238,supine
-41,0,-239,supine
-41,7,-231,supine
-44,2,-238,supine
-45,8,-230,supine
-44,3,-238,supine
-41,7,-239,supine
-39,7,-234,supine
-40,8,-231,supine
-40,9,-234,supine
-44,6,-226,supine
-45,8,-225,supine
-45,3,-236,supine
-40,6,-235,supine
-42,0,-235,supine
-42,2,-232,supine
-44,4,-230,supine
-42,5,-230,supine
-38,7,-239,supine
-43,0,-220,supine
-43,7,-233,supine
-40,7,-225,supine
-44,3,-233,supine
-41,6,-239,supine
-41,4,-228,supine
-41,6,-229,supine
-41,1,-232,supine
-42,4,-228,supine
-43,1,-234,supine
-42,2,-231,supine
-44,3,-218,supine
-46,6,-216,supine
-43,9,-236,supine
-43,6,-224,supine
-49,7,-227,supine
-45,9,-220,supine
-47,4,-231,supine
-42,4,-233,supine
-42,1,-230,supine
-45,0,-235,supine
-40,5,-230,supine
