X,Y,Z,pos
240,79,6,lateral L
246,83,7,lateral L
240,88,3,lateral L
235,87,12,lateral L
243,84,7,lateral L
238,85,7,lateral L
238,80,13,lateral L
243,83,5,lateral L
243,80,10,lateral L
241,83,7,lateral L
238,84,-1,lateral L
238,86,6,lateral L
240,84,11,lateral L
239,84,6,lateral L
239,85,3,lateral L
235,88,9,lateral L
247,89,16,lateral L
243,88,9,lateral L
242,88,12,lateral L
241,83,14,lateral L
240,87,8,lateral L
240,90,4,lateral L
243,87,12,lateral L
241,85,2,lateral L
246,81,14,lateral L
243,84,0,lateral L
237,93,15,lateral L
238,87,5,lateral L
242,86,3,lateral L
239,84,2,lateral L
238,80,5,lateral L
238,78,1,lateral L
234,75,-6,lateral L
233,73,5,lateral L
240,77,-2,lateral L
244,81,-6,lateral L
238,86,0,lateral L
238,86,-2,lateral L
242,81,6,lateral L
245,78,3,lateral L
239,79,7,lateral L
241,76,7,lateral L
239,78,-7,lateral L
244,76,-9,lateral L
243,74,-6,lateral L
242,75,-13,lateral L
248,75,-13,lateral L
237,69,-14,lateral L
243,67,-9,lateral L
243,74,1,lateral L
242,69,0,lateral L
245,74,-4,lateral L
245,71,-3,lateral L
244,73,1,lateral L
251,70,-6,lateral L
245,76,-8,lateral L
243,72,3,lateral L
249,74,-2,lateral L
241,77,-4,lateral L
242,70,-6,lateral L
238,66,-14,lateral L
241,69,-6,lateral L
243,67,-10,lateral L
246,71,-6,lateral L
244,79,-5,lateral L
244,77,2,lateral L
247,73,-8,lateral L
243,78,-3,lateral L
240,73,-4,lateral L
238,79,-3,lateral L
245,72,-8,lateral L
247,68,-18,lateral L
246,67,-4,lateral L
245,66,1,lateral L
242,71,-6,lateral L
244,72,3,lateral L
249,74,1,lateral L
250,75,0,lateral L
246,72,-6,lateral L
245,73,-1,lateral L
243,68,4,lateral L
246,67,-9,lateral L
242,69,0,lateral L
242,67,0,lateral L
245,71,-7,lateral L
240,75,-3,lateral L
242,71,0,lateral L
244,73,2,lateral L
245,71,-5,lateral L
242,72,-5,lateral L
252,69,-8,lateral L
244,67,5,lateral L
246,68,-2,lateral L
247,69,3,lateral L
248,71,-4,lateral L
243,67,2,lateral L
244,71,-1,lateral L
244,69,1,lateral L
245,68,-8,lateral L
248,68,4,lateral L
247,73,-9,lateral L
241,70,-5,lateral L
248,66,-8,lateral L
245,69,-11,lateral L
241,71,-13,lateral L
241,66,6,lateral L
248,67,-14,lateral L
243,68,-2,lateral L
247,69,-9,lateral L
249,67,-8,lateral L
245,67,-10,lateral L
245,67,4,lateral L
245,70,-12,lateral L
245,67,1,lateral L
249,64,-8,lateral L
242,63,0,lateral L
252,63,-6,lateral L
244,66,-7,lateral L
245,66,-20,lateral L
244,66,-8,lateral L
245,67,-12,lateral L
243,67,-11,lateral L
244,61,-8,lateral L
244,67,-9,lateral L
244,64,-4,lateral L
250,64,-10,lateral L
247,66,-17,lateral L
246,68,-10,lateral L
244,65,3,lateral L
244,67,2,lateral L
248,68,-15,lateral L
250,69,-7,lateral L
244,67,4,lateral L
245,69,-7,lateral L
